iter	Logloss
0	0.665149698
1	0.6363391306
2	0.613669439
3	0.5909086564
4	0.5693384312
5	0.5480881629
6	0.5280865708
7	0.5080053647
8	0.4932861665
9	0.476854135
10	0.4647060353
11	0.4499147228
12	0.4357440376
13	0.4223247464
14	0.4113308131
15	0.4021704652
16	0.3929969027
17	0.3821121147
18	0.3729284757
19	0.3642625508
20	0.3559542758
21	0.347460851
22	0.3393842008
23	0.331852464
24	0.3255403572
25	0.3238251739
26	0.3177641055
27	0.3113287485
28	0.3062683544
29	0.3012388214
30	0.2958338724
31	0.2910336608
32	0.2862014583
33	0.2813577401
34	0.2779115543
35	0.2744130502
36	0.2705906257
37	0.2692379901
38	0.2656552038
39	0.2618677129
40	0.2581412221
41	0.2568716537
42	0.2540216093
43	0.2512503242
44	0.2495394986
45	0.2466027427
46	0.2442081309
47	0.2413731699
48	0.2399495397
49	0.2375096816
50	0.2359214567
51	0.2343345364
52	0.2326628918
53	0.2302413452
54	0.229225356
55	0.2287731219
56	0.2266875198
57	0.2245882396
58	0.2241416829
59	0.2222305939
60	0.2204811553
61	0.2187935722
62	0.2172503256
63	0.2171307173
64	0.2155174705
65	0.2140720014
66	0.2137149549
67	0.2135427935
68	0.2132582047
69	0.211655087
70	0.2115750825
71	0.209893501
72	0.2093679633
73	0.2080029535
74	0.2072361049
75	0.2058472009
76	0.2046171095
77	0.2037151179
78	0.203539571
79	0.2021315946
80	0.2019361021
81	0.2010864411
82	0.2005359648
83	0.1994412066
84	0.198303097
85	0.1974693482
86	0.1964522941
87	0.1955869467
88	0.1943306179
89	0.1940101403
90	0.1936525582
91	0.1929071234
92	0.1921271376
93	0.1911723077
94	0.1904472373
95	0.1892158505
96	0.1890637997
97	0.1881222064
98	0.1880690954
99	0.187557134
100	0.1869491229
101	0.1861683291
102	0.1858307793
103	0.1845542471
104	0.1839473497
105	0.1830634801
106	0.1827705686
107	0.1822503877
108	0.1813173772
109	0.180861942
110	0.1805198908
111	0.1796586719
112	0.178881245
113	0.178078493
114	0.1776727693
115	0.1770750702
116	0.1770359857
117	0.1758634693
118	0.1750599949
119	0.174247757
120	0.173610853
121	0.1731342296
122	0.1726638411
123	0.1720452375
124	0.1719464036
125	0.1713843082
126	0.1708516289
127	0.170736853
128	0.1700893419
129	0.1697208534
130	0.1696096007
131	0.1689829193
132	0.1683744689
133	0.16825818
134	0.1673866639
135	0.1666044013
136	0.1662597718
137	0.1658313639
138	0.1654550669
139	0.1654301938
140	0.1653725371
141	0.1652660356
142	0.1650457011
143	0.1646045553
144	0.1637699889
145	0.1637446016
146	0.1636975984
147	0.1634545432
148	0.163258081
149	0.162976162
150	0.1629551809
151	0.1622780489
152	0.161574102
153	0.1610549164
154	0.1608273554
155	0.1607621238
156	0.160177927
157	0.1594335583
158	0.1591256837
159	0.1591106145
160	0.1588170291
161	0.1583164537
162	0.158136795
163	0.157915127
164	0.1576694683
165	0.1576123558
166	0.1570733883
167	0.1569883092
