iter	Passed	Remaining
0	85	85160
1	195	97463
2	219	72848
3	258	64412
4	468	93148
5	648	107469
6	677	96081
7	862	106936
8	885	97544
9	1055	104484
10	1077	96913
11	1233	101526
12	1397	106090
13	1470	103581
14	1506	98909
15	1539	94700
16	1578	91268
17	1732	94526
18	1908	98513
19	1969	96513
20	2138	99705
21	2304	102427
22	2476	105187
23	2653	107890
24	2814	109771
25	2825	105844
26	3005	108318
27	3058	106177
28	3097	103714
29	3142	101614
30	3304	103295
31	3474	105117
32	3640	106668
33	3797	107895
34	3846	106056
35	3950	105774
36	4112	107028
37	4141	104853
38	4314	106324
39	4496	107911
40	4662	109065
41	4687	106915
42	4845	107846
43	5024	109172
44	5068	107574
45	5237	108621
46	5404	109581
47	5572	110528
48	5605	108790
49	5768	109600
50	5940	110544
51	5982	109057
52	6038	107890
53	6190	108456
54	6219	106868
55	6248	105340
56	6419	106199
57	6592	107066
58	6616	105527
59	6787	106330
60	6962	107181
61	7132	107909
62	7301	108592
63	7309	106903
64	7488	107722
65	7652	108296
66	7682	106986
67	7698	105510
68	7721	104181
69	7886	104774
70	7895	103308
71	8066	103969
72	8106	102938
73	8269	103482
74	8440	104102
75	8596	104520
76	8764	105063
77	8934	105615
78	8960	104458
79	9137	105077
80	9160	103937
81	9324	104391
82	9491	104859
83	9661	105353
84	9835	105874
85	9999	106276
86	10166	106693
87	10339	107151
88	10519	107676
89	10564	106822
90	10589	105781
91	10808	106670
92	10986	107148
93	11168	107643
94	11340	108035
95	11514	108427
96	11538	107417
97	11716	107841
98	11743	106876
99	11918	107267
100	12092	107630
101	12269	108021
102	12292	107054
103	12471	107444
104	12630	107663
105	12804	107993
106	12839	107158
107	12947	106940
108	13116	107218
109	13278	107433
110	13442	107658
111	13609	107904
112	13776	108135
113	13941	108349
114	14110	108593
115	14281	108835
116	14300	107925
117	14464	108112
118	14625	108277
119	14794	108491
120	14964	108710
121	15129	108883
122	15319	109230
123	15488	109420
124	15527	108690
125	15693	108856
126	15867	109073
127	15891	108257
128	16051	108381
129	16239	108681
130	16277	107976
131	16455	108208
132	16625	108379
133	16659	107664
134	16822	107790
135	16991	107946
136	17152	108050
137	17332	108263
138	17496	108378
139	17510	107561
140	17528	106784
141	17562	106115
142	17609	105533
143	17790	105757
144	17985	106054
145	18002	105301
146	18021	104575
147	18220	104892
148	18419	105201
149	18609	105453
150	18623	104710
151	18797	104870
152	18986	105107
153	19170	105314
154	19337	105420
155	19374	104820
156	19543	104936
157	19721	105097
158	19894	105227
159	19908	104517
160	20081	104646
161	20256	104783
162	20312	104302
163	20488	104440
164	20689	104701
165	20710	104051
166	20886	104179
167	20924	103626
168	21083	103669
169	21286	103930
170	21459	104036
171	21490	103454
172	21520	102873
173	21689	102963
174	21862	103065
175	22031	103149
176	22223	103332
177	22399	103438
178	22419	102831
179	22607	102990
180	22800	103167
181	22813	102533
182	22999	102678
183	23192	102851
184	23373	102968
185	23554	103082
186	23568	102467
187	23737	102526
188	23910	102599
189	24096	102725
190	24135	102228
191	24155	101652
192	24348	101809
193	24557	102028
194	24576	101456
195	24612	100963
196	24805	101111
197	24978	101174
198	25159	101268
199	25334	101337
200	25349	100767
201	25537	100887
202	25704	100918
203	25713	100332
204	25732	99793
205	25919	99905
206	25935	99356
207	26117	99447
208	26141	98937
209	26170	98452
210	26337	98484
211	26528	98606
212	26710	98692
213	26888	98758
214	27087	98900
215	27289	99049
216	27464	99098
217	27634	99130
218	27649	98603
219	27814	98616
220	27990	98661
221	28180	98759
222	28348	98774
223	28516	98788
224	28700	98858
225	28995	99303
226	29100	99094
227	29134	98649
228	29306	98670
229	29501	98766
230	29701	98875
231	29719	98381
232	29890	98394
233	30064	98415
234	30246	98461
235	30420	98480
236	30581	98455
237	30744	98434
238	30777	97998
239	30805	97549
240	30967	97528
241	30981	97040
242	31148	97035
243	31322	97047
244	31495	97056
245	31656	97028
246	31824	97020
247	32005	97050
248	32194	97099
249	32378	97135
250	32406	96704
251	32589	96733
252	32764	96739
253	32934	96730
254	32963	96305
255	32982	95854
256	33151	95842
257	33322	95833
258	33514	95883
259	33690	95887
260	33712	95453
261	33879	95432
262	34039	95388
263	34199	95345
264	34222	94919
265	34396	94914
266	34574	94916
267	34749	94911
268	34934	94932
269	35102	94906
270	35128	94496
271	35331	94564
272	35372	94196
273	35569	94245
274	35740	94225
275	35911	94203
276	36111	94254
277	36291	94252
278	36368	93984
279	36564	94023
280	36748	94029
281	36917	93995
282	37094	93980
283	37122	93590
284	37280	93528
285	37298	93115
286	37325	92728
287	37348	92333
288	37530	92333
289	37717	92343
290	37885	92305
291	38070	92307
292	38098	91931
293	38293	91955
294	38474	91946
295	38489	91543
296	38659	91506
297	38845	91508
298	38860	91107
299	39034	91080
300	39075	90742
301	39245	90706
302	39293	90387
303	39461	90346
304	39635	90316
305	39662	89954
306	39841	89936
307	40019	89913
308	40188	89871
309	40358	89829
310	40375	89448
311	40398	89084
312	40435	88750
313	40636	88778
314	40660	88419
315	40851	88425
316	41033	88408
317	41237	88439
318	41423	88431
319	41614	88431
320	41634	88068
321	41829	88075
322	42015	88062
323	42183	88012
324	42355	87968
325	42531	87932
326	42711	87904
327	42868	87828
328	42904	87504
329	43097	87501
330	43276	87467
331	43493	87510
332	43677	87485
333	43840	87417
334	44036	87416
335	44208	87364
336	44405	87361
337	44583	87319
338	44596	86957
339	44780	86926
340	44959	86886
341	45017	86612
342	45042	86276
343	45209	86212
344	45379	86155
345	45572	86139
346	45600	85812
347	45624	85480
348	45654	85161
349	45669	84814
350	45841	84761
351	46027	84731
352	46211	84699
353	46225	84355
354	46427	84353
355	46596	84293
356	46760	84222
357	46927	84155
358	47108	84112
359	47284	84060
360	47305	83734
361	47485	83690
362	47674	83659
363	47844	83596
364	48033	83565
365	48054	83242
366	48241	83207
367	48271	82901
368	48445	82843
369	48460	82513
370	48633	82454
371	48648	82127
372	48819	82064
373	48983	81989
374	49159	81932
375	49330	81867
376	49499	81798
377	49519	81484
378	49697	81431
379	49722	81126
380	49904	81079
381	50086	81030
382	50106	80719
383	50271	80644
384	50454	80596
385	50634	80543
386	50793	80455
387	50984	80419
388	51155	80349
389	51335	80294
390	51508	80227
391	51659	80124
392	51822	80040
393	51846	79743
394	52010	79661
395	52170	79572
396	52329	79483
397	52510	79425
398	52667	79331
399	52823	79235
400	52991	79156
401	53158	79076
402	53315	78981
403	53477	78892
404	53632	78793
405	53793	78703
406	53966	78629
407	54135	78548
408	54292	78451
409	54447	78351
410	54601	78248
411	54756	78148
412	54912	78047
413	55080	77964
414	55233	77859
415	55383	77749
416	55549	77662
417	55705	77560
418	55867	77467
419	56048	77400
420	56207	77301
421	56384	77228
422	56552	77141
423	56580	76864
424	56737	76762
425	56898	76665
426	57080	76597
427	57252	76515
428	57407	76409
429	57583	76331
430	57745	76234
431	57923	76159
432	58098	76078
433	58257	75976
434	58417	75875
435	58597	75799
436	58790	75741
437	58989	75689
438	59176	75622
439	59384	75580
440	59552	75486
441	59745	75425
442	59946	75373
443	60135	75304
444	60324	75236
445	60527	75184
446	60696	75089
447	60869	75000
448	61045	74913
449	61231	74838
450	61397	74738
451	61568	74644
452	61777	74596
453	61965	74522
454	62156	74451
455	62348	74380
456	62545	74315
457	62749	74258
458	62924	74166
459	63085	74056
460	63250	73952
461	63549	74003
462	63729	73914
463	63900	73816
464	64067	73711
465	64233	73606
466	64399	73501
467	64574	73405
468	64729	73286
469	64912	73199
470	65089	73105
471	65270	73014
472	65444	72916
473	65596	72792
474	65774	72698
475	65945	72595
476	66096	72470
477	66266	72366
478	66413	72236
479	66591	72141
480	66762	72036
481	66930	71929
482	67129	71854
483	67325	71776
484	67524	71701
485	67696	71596
486	67868	71492
487	68046	71392
488	68210	71279
489	68371	71162
490	68535	71047
491	68706	70941
492	68881	70837
493	69030	70707
494	69204	70602
495	69358	70477
496	69516	70355
497	69679	70239
498	69845	70125
499	70039	70039
500	70211	69930
501	70366	69805
502	70530	69689
503	70696	69574
504	70891	69487
505	71045	69360
506	71203	69236
507	71371	69123
508	71564	69034
509	71728	68915
